<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20200105,230000,62.5064000,62.5064000,62.5064000,62.5064000,1
20200105,231500,62.1303000,62.1303000,62.1303000,62.1303000,2
20200105,233000,62.1472000,62.1472000,62.1136000,62.1136000,3
20200105,234500,62.1305000,62.1305000,62.1305000,62.1305000,1
20200106,003000,62.0274000,62.4550000,62.0191000,62.4550000,4
20200106,004500,62.4720000,62.4745000,62.0690000,62.4675000,6
20200106,010000,62.4956000,62.4973000,62.4500000,62.4675000,5
20200106,011500,62.0300000,62.1900000,62.0300000,62.1767000,7
20200106,013000,62.0685000,62.2428000,62.0460000,62.2150000,29
20200106,014500,62.2287000,62.3761000,62.1535000,62.3594000,35
20200106,020000,62.3725000,62.3736000,62.1649000,62.1838000,13
20200106,021500,62.1994000,62.1994000,62.1074000,62.1494000,150
20200106,023000,62.0767000,62.1858000,62.0612000,62.1361000,120
20200106,024500,62.0553000,62.1856000,62.0553000,62.1382000,54
20200106,030000,62.0610000,62.1840000,62.0610000,62.1626000,90
20200106,031500,62.0765000,62.1629000,62.0685000,62.0941000,109
20200106,033000,62.0652000,62.1086000,62.0589000,62.0859000,76
20200106,034500,62.0571000,62.1260000,62.0449000,62.0449000,126
20200106,040000,62.0559000,62.0818000,62.0430000,62.0453000,67
20200106,041500,62.0664000,62.0667000,62.0440000,62.0451000,41
20200106,043000,62.0694000,62.0694000,62.0433000,62.0438000,53
20200106,044500,62.0679000,62.0724000,62.0417000,62.0418000,57
20200106,050000,62.0712000,62.0712000,62.0419000,62.0467000,61
20200106,051500,62.0692000,62.0692000,62.0441000,62.0444000,66
20200106,053000,62.0664000,62.0669000,62.0424000,62.0424000,56
20200106,054500,62.0680000,62.0680000,62.0415000,62.0457000,72
20200106,060000,62.0776000,62.0776000,62.0424000,62.0425000,36
20200106,061500,62.0614000,62.0684000,62.0411000,62.0426000,48
20200106,063000,62.0414000,62.0763000,62.0411000,62.0464000,39
20200106,064500,62.0661000,62.1120000,62.0421000,62.0553000,143
20200106,070000,62.1092000,62.1170000,62.0479000,62.0860000,241
20200106,071500,62.0891000,62.1210000,62.0000000,62.1210000,482
20200106,073000,62.1164000,62.1452000,62.0890000,62.1000000,473
20200106,074500,62.1301000,62.1471000,62.0844000,62.1085000,215
20200106,080000,62.1337000,62.1338000,62.0876000,62.1320000,170
20200106,081500,62.1000000,62.1469000,62.0609000,62.0720000,193
20200106,083000,62.0689000,62.1452000,62.0650000,62.1000000,202
20200106,084500,62.1343000,62.1450000,62.0725000,62.1087000,654
20200106,090000,62.1365000,62.1453000,62.0950000,62.1157000,363
20200106,091500,62.1493000,62.1493000,62.0750000,62.1132000,418
20200106,093000,62.1378000,62.1670000,62.0850000,62.1572000,379
20200106,094500,62.1848000,62.1920000,62.1170000,62.1170000,459
20200106,100000,62.1654000,62.1669000,62.1170000,62.1590000,269
20200106,101500,62.1474000,62.3600000,62.0925000,62.2625000,16727
20200106,103000,62.2720000,62.2913000,62.1310000,62.2191000,10708
20200106,104500,62.2294000,62.2384000,62.0750000,62.1210000,10292
20200106,110000,62.1120000,62.1987000,62.0860000,62.1957000,7182
20200106,111500,62.1947000,62.2006000,62.0950000,62.1527000,12048
20200106,113000,62.1738000,62.1804000,62.0810000,62.1779000,9846
20200106,114500,62.1750000,62.2250000,62.1210000,62.1895000,6418
20200106,120000,62.1895000,62.2155000,62.1251000,62.1593000,15356
20200106,121500,62.1283000,62.2024000,62.1028000,62.1640000,9425
20200106,123000,62.1748000,62.1994000,62.1150000,62.1827000,7552
20200106,124500,62.1829000,62.2014000,62.0768000,62.0913000,10284
20200106,130000,62.1433000,62.1507000,62.0530000,62.1096000,11117
20200106,131500,62.0592000,62.1178000,62.0099000,62.0855000,10227
20200106,133000,62.0877000,62.0914000,61.9599000,61.9942000,8918
20200106,134500,61.9942000,62.0775000,61.9795000,62.0689000,9267
20200106,140000,62.0708000,62.0824000,61.9959000,62.0539000,7749
20200106,141500,62.0034000,62.0850000,61.9967000,62.0598000,6320
20200106,143000,62.0813000,62.0939000,61.9810000,62.0295000,6393
20200106,144500,61.9958000,62.0568000,61.9657000,62.0418000,9104
20200106,150000,62.0400000,62.0544000,61.9781000,62.0348000,8618
20200106,151500,62.0348000,62.0592000,61.9661000,62.0522000,11291
20200106,153000,62.0527000,62.0622000,61.9802000,62.0354000,10628
20200106,154500,62.0325000,62.0450000,61.9551000,61.9603000,10055
20200106,160000,61.9603000,62.0172000,61.9068000,61.9678000,12265
20200106,161500,61.9682000,62.0013000,61.9005000,61.9943000,9019
20200106,163000,61.9450000,61.9986000,61.9151000,61.9628000,7411
20200106,164500,61.9818000,61.9818000,61.8582000,61.9060000,9212
20200106,170000,61.9231000,61.9479000,61.8500000,61.9080000,6962
20200106,171500,61.8620000,61.9632000,61.8580000,61.9531000,7684
20200106,173000,61.9662000,61.9727000,61.9030000,61.9172000,9714
20200106,174500,61.9178000,61.9813000,61.8835000,61.9110000,9975
20200106,180000,61.9518000,62.0032000,61.9135000,61.9780000,8610
20200106,181500,61.9985000,62.0041000,61.8720000,61.9204000,9054
20200106,183000,61.8720000,61.9350000,61.7662000,61.8425000,11657
20200106,184500,61.8406000,61.8600000,61.6990000,61.8090000,12184
