<TIME>,USD/RUB,<LAST>
001211,USD/RUB,61.535000000
001211,USD/RUB,61.535000000
001211,USD/RUB,61.545900000
001213,USD/RUB,61.544500000
001213,USD/RUB,61.535000000
001213,USD/RUB,61.545900000
001213,USD/RUB,61.535000000
001215,USD/RUB,61.544500000
001215,USD/RUB,61.535000000
001216,USD/RUB,61.535000000
001216,USD/RUB,61.545900000
001218,USD/RUB,61.544500000
001218,USD/RUB,61.535000000
001218,USD/RUB,61.545900000
001238,USD/RUB,61.535000000
001258,USD/RUB,61.535000000
001305,USD/RUB,61.527500000
001305,USD/RUB,61.545400000
001306,USD/RUB,61.535000000
001306,USD/RUB,61.535000000
001306,USD/RUB,61.545600000
001308,USD/RUB,61.535000000
001308,USD/RUB,61.545600000
001308,USD/RUB,61.545600000
001309,USD/RUB,61.535000000
001310,USD/RUB,61.535000000
001310,USD/RUB,61.545600000
001310,USD/RUB,61.545600000
001311,USD/RUB,61.531000000
001312,USD/RUB,61.557000000
001313,USD/RUB,61.535000000
001313,USD/RUB,61.545600000
001313,USD/RUB,61.535000000
001315,USD/RUB,61.535000000
001315,USD/RUB,61.545600000
001315,USD/RUB,61.535000000
001317,USD/RUB,61.535000000
001317,USD/RUB,61.545600000
001317,USD/RUB,61.545600000
001319,USD/RUB,61.535000000
001319,USD/RUB,61.545400000
001319,USD/RUB,61.545400000
001336,USD/RUB,61.507500000
001336,USD/RUB,61.535000000
001337,USD/RUB,61.535000000
001337,USD/RUB,61.545400000
001337,USD/RUB,61.545400000
001337,USD/RUB,61.535000000
001338,USD/RUB,61.535000000
001339,USD/RUB,61.545400000
001339,USD/RUB,61.545400000
001341,USD/RUB,61.535000000
001341,USD/RUB,61.545400000
001344,USD/RUB,61.544700000
001344,USD/RUB,61.545400000
001344,USD/RUB,61.529000000
001346,USD/RUB,61.557000000
001346,USD/RUB,61.545400000
001346,USD/RUB,61.545400000
001348,USD/RUB,61.544700000
001348,USD/RUB,61.545400000
001352,USD/RUB,61.544700000
001352,USD/RUB,61.545400000
001354,USD/RUB,61.544700000
001355,USD/RUB,61.545400000
001357,USD/RUB,61.544700000
001357,USD/RUB,61.545400000
001357,USD/RUB,61.535000000
001359,USD/RUB,61.544700000
001359,USD/RUB,61.545400000
001401,USD/RUB,61.544700000
001401,USD/RUB,61.545400000
001403,USD/RUB,61.544700000
001403,USD/RUB,61.545400000
001405,USD/RUB,61.544700000
001406,USD/RUB,61.545400000
001408,USD/RUB,61.544700000
001408,USD/RUB,61.545400000
001410,USD/RUB,61.544700000
001410,USD/RUB,61.545400000
001412,USD/RUB,61.544700000
001412,USD/RUB,61.545400000
001414,USD/RUB,61.544700000
001415,USD/RUB,61.545400000
001416,USD/RUB,61.544700000
