<TIME>,EUR/RUB,<LAST>
003300,EUR/RUB,68.249000000
003301,EUR/RUB,68.249000000
003305,EUR/RUB,68.248000000
003306,EUR/RUB,68.249000000
003307,EUR/RUB,68.249000000
003308,EUR/RUB,68.249000000
003309,EUR/RUB,68.249000000
003310,EUR/RUB,68.249000000
003311,EUR/RUB,68.249000000
003312,EUR/RUB,68.249000000
003314,EUR/RUB,68.248000000
003315,EUR/RUB,68.247000000
003315,EUR/RUB,68.309800000
003316,EUR/RUB,68.246000000
003317,EUR/RUB,68.246000000
003318,EUR/RUB,68.246000000
003328,EUR/RUB,68.245000000
003329,EUR/RUB,68.244000000
003331,EUR/RUB,68.244000000
003332,EUR/RUB,68.245000000
003333,EUR/RUB,68.245000000
003334,EUR/RUB,68.244000000
003335,EUR/RUB,68.243000000
003338,EUR/RUB,68.243000000
003339,EUR/RUB,68.244000000
003340,EUR/RUB,68.243000000
003341,EUR/RUB,68.243000000
003342,EUR/RUB,68.244000000
003343,EUR/RUB,68.243000000
003344,EUR/RUB,68.243000000
003345,EUR/RUB,68.268000000
003346,EUR/RUB,68.243000000
003346,EUR/RUB,68.305500000
003346,EUR/RUB,68.244000000
003347,EUR/RUB,68.244000000
003348,EUR/RUB,68.243000000
003349,EUR/RUB,68.243000000
003350,EUR/RUB,68.244000000
003351,EUR/RUB,68.243000000
003353,EUR/RUB,68.243000000
